Third-Party Security Risk Assessment Questionnaire,,,,,
,,,,,
Name of Company: ,,,,,
Company's Website: ,,,,,
Contact Person Completing the Assessment: ,,,,,
Email Address: ,,,,,
Phone Number: ,,,,,
,,,,,
,,,,,
"Select the appropriate answer from the drop down in the Response column, and provide a brief description in the Comments section.",,,,,
Information Security Assessment Questions,,Response,Comments,"GT Comments/Questions
This section for University Use Only",Third Party's Response to University Comments/Questions
Organizational Information Security,,,,,
1,"If your company (not your third parties) can show proof of security focused audits (such as SSAE16 or SOC 2) and you provide proof of them, then you do not have to file out this questionair. Please provide proof of certification.",,,,
2,Do you have a member of your organization with dedicated information security duties?,,,,
3,Is a background check required for all employees accessing and handling the our data?,,,,
4,Does the organization have written information security policies?,,,,
,,,,,
,,,,,
,,,,,
5,Do all staff receive information security awareness training?,,,,
6,Does the organization have a copy of the State of Texas Control Standards Catalog and are they willing to comply with the policies and standards? Control catalog is located here SA-9,,,,
7,Does the organization have a formal change control process for IT changes? ,,,,
8,Has the organization implemented an IT Governance framework such as ITIL or ISO 27001?,,,,
9,Will your company be processing credit cards on behalf of the university?,,,,
9.1,"     If yes, is your company PCI DSS compliant?",,,,
General Security (your environment not the hosting environment),,,,,
10,Is antivirus software installed on data processing servers?,,,,
11,Is antivirus software installed on workstations?,,,,
12,Are system and security patches applied to workstations on a routine bases?,,,,
13,Are system and security patches applied to servers on a routine bases?,,,,
13.1,   Are system and security patches tested prior to implementation in the production environment?,,,,
14,Do employees have a unique log-in ID when accessing data?,,,,
15,Does the organization have security measures in place for data protection?,,,,
,,,,,
16,"Is access restricted to systems that contain sensitive data?
(PVAMU considers credit card numbers, social security numbers, HIPAA, & FERPA data sensitive)",,,,
16.1,"   If yes, what controls or are currently in place to restrict access?",,,,
17,Is physical access to data processing equipment (servers and network equipment) restricted?,,,,
17.1,"   If yes, what controls are currently in place?",,,,
18,Is there a process for secure disposal of both IT equipment and media?,,,,
,,,,,
 Network Security (Your Environment not the hosting environment) ,,,,,
19,Are network boundaries protected by firewalls?,,,,
20,Is regular network vulnerability scanning performed?,,,,
21,Are Intrusion Detection Systems (IDS) or Intrusion Prevention Systems (IPS) used by your organization?,,,,
21.1,"   If yes, please describe in the comments section",,,,
22,Are employees required to use a VPN when accessing the organization's systems from all remote locations?,,,,
23,Is wireless access allowed in your organization?,,,,
,,,,,
Systems Security,,,,,
24,Are computer systems (servers) backed up according to a regular schedule?,,,,
24.1,   Has the back-up and recovery process been verified?,,,,
24.2,   Does the organization store backups offsite?,,,,
24.3,   Does the organization encrypt its backups?,,,,
25,Does the organization replicate data to locations outside of the United States?,,,,
26,Does the organization outsource its data storage?,,,,
,,,,,
27,Is there formal control of access to System Administrator privileges?,,,,
28,Are servers configured to capture who accessed a system and what changes were made?,,,,
28.1,"   If no, in case of a security breach, how do you determine who accessed the system and what changes were made?",,,,
29,Is University data in its own instance in your environment? ,,,,
,,,,,
30,"Is sensitive data properly secured and data communication encrypted? For example, does the software support SSL encryption?",,,,
Business Continuity / Disaster Recovery,,,,,
30,Does the organization have disaster recovery plans for data processing facilities?,,,,
,,,,,
31,Are computer rooms protected against fire and flood?,,,,
32,"Does the organization have a ""Hot"" recovery site?",,,,
Incident Response,,,,,
33,"If an information security breach involving PVAMU data occurred, would PVAMU be notified of the breach?",,,,
33.1,"   If yes, how soon would the PVAMU be notified?",,,,
34,Does the organization have a formal Incident Response plan?,,,,
35,Has the organization experienced an information security breach in the past three to five years?,,,,
35.1,"   If so, please document what information was lost in the comments section?",,,,
,,,,,
Auditing / Client Reporting,,,,,
36,Does your organization receive an SSAE-16 or SOC Report? (not the hosting provider),,,,
36.1,"   If so, please document which type of report is being obtained in the comments section.  Please provide a copy of the latest report.",,,,
,,,,,
External Hosting and your 3rd parties,,,,,
37,Will our data be hosted at a hosting provider?,,,,
37.1,    If yes the please provide the hosting service name and are they SSAE-16 or SOC 2 certified?,,,,
38,Please list any other 3rd parties your business uses to host our data and their certifications.,,,,
39,Do you perform periodic reviews of your third parties that have access to our data? How often?,,,,
Technical and Integration Questions,,,,,
40,"What is the structure, format, and size of the data?",,,,
41,"How is data transmitted, processed and stored? Please provide all Transmission options. ",,,,
42,How is data  used-in what business processes?,,,,
43,Do you perform periodic reviews of your third parties that have access to our data? How often,,,,
Other Regulation Requirement Questions,,,,,
40,Do you have a current VPAT certification? If yes please provide. ,,,,
